code,EPF,ELT,ERC,EFF
O3314010,-0.010092866882523,-1.0,0.3285597357158936,0.2978862017566086
O3314010,-0.6573451082188912,-9.0,-0.3787205796884645,-0.7150965898396366
O3314010,-0.42155517578125,3.0,-0.1475725838960582,-0.1427770567014458
O3314010,-0.392216475423925,-2.0,0.055593771134083,-0.0946434457719758
O3314010,-0.2127746553136371,0.0,-0.0068940238737129,0.0098497484064332
O3314010,-0.7115180299088761,0.0,-0.5064364952971503,-0.6473842092473523
O3314010,-0.0359664044726473,-1.0,0.1366897434068392,0.1969538567650521
J5704810,-0.6536568964012484,-6.0,-0.6512136462009511,-0.5372165699088188
J5704810,-0.571045026101482,0.0,-0.3160030512169054,-0.3760975446726829
J5704810,-0.3249954835585381,-2.0,-0.179431844684742,-0.258242764409097
J5704810,-0.2915727074547923,2.0,-0.0382363188175313,-0.3121901480845453
J5704810,-0.1464150274839989,5.0,0.0102069392050396,0.023380006386233
J5704810,-0.3983640992433114,-2.0,-0.1482975873740416,-0.2590466433374334
G4002020,-0.4976589249704388,-85.0,-0.6052761635258799,0.3463188560399519
G4002020,-0.498362942745811,-1.0,-0.6165212297103386,-0.0135026155997143
G4002020,-0.6295296046871018,1.0,-0.6866068989821834,0.0024000398205616
G4002020,-0.1925791736315797,1.0,-0.3784573134596423,0.7375867089365908
G4002020,-0.5652872019099432,1.0,-0.6550974895709718,-0.1279004650129035
G4002020,-0.2797030785143277,0.0,-0.5155926965477159,0.205868777823688
G4002020,-0.427028178341423,-2.0,-0.3462046621288707,0.4820065695928064
G4002020,0.0470817204131994,-2.0,0.05240564873264,0.812884864922468
G4002020,-0.6952568478488801,-3.0,-0.1638427741333886,-0.3099273985783427
G4002020,-0.36561573375322,-1.0,-0.2832261653568031,-0.1017420726636902
G4002020,-0.5770657477146546,-2.0,-0.337282654025655,-0.3015725595636653
G4002020,-0.7449156331571403,-1.0,-0.3745573237242205,-0.4702364506080291
G4002020,-0.8327089089613695,-1.0,-0.459464063038389,-0.6651912632675402
G4002020,-0.4812639570029143,19.0,-0.1043837069378627,-0.2642283999684742
G4002020,0.0926775136903197,-2.0,0.2555227161494777,0.2842103758702283
G4002020,-0.4476782078893535,0.0,-0.2162846968590211,-0.0059173267876694
G4002020,-0.748370598376392,-1.0,-0.3275538691420868,-0.5172365083365462
G4002020,-0.4818973331003933,-1.0,-0.0071276226032013,0.114139319578786
G4002020,-0.6566322076111554,-3.0,-0.1799197284764074,-0.585204785093522
G4002020,-0.3778699528087269,0.0,0.2349904503826594,-0.1586106106243389
G4002020,-0.4041839540406839,2.0,0.4077859605055609,0.0362577307160218
G4002020,-0.1195385860551312,2.0,0.5418563369485554,0.0889262497732079
G4002020,-0.2889782873557365,-1.0,0.4393718213034863,-0.3679300499225992
K2724210,-0.4413132559391923,31.0,-0.9286242618500854,-0.8928623849219044
K2724210,-0.836400001439985,1.0,-0.876764482821537,-0.8278496849027019
K2724210,-0.4488520116610698,1.0,-0.7188897810071926,-0.6434874488056241
K2724210,-0.4154546307290232,-1.0,-0.4413964090619519,-0.3332266422648808
K2724210,-0.3545900491567758,1.0,-0.2167273025760379,-0.2457263363886743
K2724210,-0.106336940754069,0.0,0.2015485684218072,0.1541348113207361
K2724210,-0.6940353263815412,0.0,-0.2797350682405142,-0.6508770220877743
K2724210,-0.4880627995659222,1.0,-0.6266670674875995,-0.7729926153569918
K2724210,-0.8499041578120272,1.0,-0.4041556838103616,-0.7784277704139902
K2724210,-0.7303872377296103,-3.0,-0.6048599450119754,-0.7774762233072141
K2724210,-0.707294018419689,24.0,-0.2976363613178853,-0.6149207887630219
K2724210,-0.5576644367760488,0.0,-0.1804348825327923,-0.6424442180338552
K2724210,-0.6488449536112231,0.0,-0.4126581430095974,-0.7456460272015277
K2724210,-0.4857208895755546,-85.0,-0.3123350512591999,-0.7962704990434308
K2724210,-0.7769911819738452,13.0,-0.5678889966722251,-0.807091256082725
K2724210,-0.3859201175073988,-50.0,-0.3149291280619832,-0.5308256120183044
K2724210,-0.3476542065216929,1.0,-0.0070766630386224,-0.4102378155193467
K2724210,-0.544189715744275,25.0,-0.0572895649152082,-0.4732936015158523
K2724210,-0.0265476006720933,-3.0,0.0994227109848546,-0.4433757128355816
K2724210,-0.4275205592408132,1.0,-0.1002325911528003,-0.3592369096811854
K2724210,-0.4880775445199311,0.0,-0.2431964017512333,-0.2692175507584479
K2724210,-0.4608555347746113,1.0,-0.3437431414631595,-0.5345200979482245
K2724210,-0.8732527052175262,1.0,-0.7163936691831463,-0.914589976795026
K2724210,-0.8391516961133191,122.0,-0.8043396852510969,-0.9048336445933084
K2724210,-0.8514686612199074,1.0,-0.742918176318006,-0.8299549677466582
K2724210,-0.6726679435180162,102.0,-0.6883199311711155,-0.7452574418321953
K2724210,-0.4997747677695457,0.0,-0.4643940825022956,-0.6523075263920048
K2724210,-0.763898608596986,1.0,-0.4201474877535318,-0.4722741265144027
K2724210,-0.4380925494987865,66.0,-0.0621103100781185,-0.1353524756696127
K2724210,-0.0647383598075611,1.0,0.1808494287673197,-0.066325993420892
K2724210,-0.4051804714001307,1.0,-0.0950023513547075,-0.2326881647387625
K2724210,-0.1336403884176,2.0,-0.0101807625592358,-0.3520956806585973
K2724210,-0.0302773284594047,1.0,0.2154559896148731,-0.0990662175310382
K2724210,-0.4584344053482136,2.0,0.1276544414936187,-0.3885693634283463
K2724210,-0.0827267781163922,-2.0,-0.2081585038666492,-0.5592376728157389
K2724210,-0.2912232739804785,-1.0,-0.1258453449313984,-0.5263643303572434
K2724210,-0.914126945537314,1.0,-0.8376668609476291,-0.9394999541753756
