code,EPF,ELT,ERC,EFF
E3346020,-0.3899266428033165,-1.0,-0.0782148137219183,-0.2424652983744604
E3346020,-0.3975400840632266,1.0,-0.1131612030698913,-0.1117583469825098
E3346020,-0.6280032055709877,183.0,-0.2356115600281593,-0.3921284863977697
E3346020,-0.3612272947204308,1.0,-0.2862121770984209,-0.464190226950294
E3346020,-0.2977639396640182,0.0,0.0486110268489141,-0.0375836345324401
J5704810,-0.494356735038962,-1.0,-0.5718275955863912,-0.4172588903373773
J5704810,-0.4672133827233053,35.0,-0.3117280235326168,-0.5028636344041446
J5704810,-0.0024489845965416,-4.0,-0.0681394560331253,-0.0729749015155134
J5704810,-0.0591960316490997,-33.0,-0.1658685589177575,-0.21081013234617
J5704810,-0.3487488805000976,-1.0,-0.3221232473688923,-0.327182707854236
J5704810,-0.2777728856310177,77.0,-0.1479688416981429,-0.1927032001557375
J5704810,-0.2130835714121518,0.0,0.0206311860798455,-0.0879455836329387
J5704810,-0.2819554327803203,0.0,-0.1361641898285105,-0.2218134077121129
J5704810,-0.0505308476543474,1.0,0.1034156508417365,-0.1162332495804792
J5704810,-0.1170660243549737,-3.0,0.0453415761283917,-0.1177481918467431
J5704810,-0.2698545483704916,-278.0,-0.182439568462301,-0.2030727716688731
J5704810,-0.2513344807047769,1.0,-0.0842922629327068,-0.2019032076742651
H7843010,-0.981584066007671,-2.0,-0.996102652438268,-0.985269750219334
H7843010,-0.927279982344138,21.0,-0.9644211499815148,-0.8880131296898786
H7843010,-0.893985920244495,-2.0,-0.9358988383675748,-0.7704767830406514
H7843010,-0.5630969029383907,3.0,-0.7909847126976159,-0.1127554160882849
H7843010,-0.5069588975241517,95.0,-0.330337499856423,-0.255080188058296
H7843010,-0.464962539912238,0.0,-0.1781152562218532,-0.0208044543606188
H7843010,-0.3067590328288995,80.0,-0.1869260470463536,-0.0329737875308684
H7843010,-0.4890305554183369,-14.0,-0.2844459360210033,-0.517503130549453
H7843010,-0.3517043967436457,-1.0,-0.1891918566283065,-0.1257705950635669
H7843010,-0.5537006935133466,0.0,-0.2802262970647221,-0.3948942979804729
H7843010,-0.3689021922538152,-1.0,0.1155233356616343,0.4963543316461349
